GEO_ID,ZIPCODE,TOTAL_POP,HISP_LAT,HISP_LAT_%,NON_HISP_WHITE,WHITE_%,NON_HISP_BLACK,BLACK_%,NON_HISP_NATIVE,NATIVE_%,NON_HISP_ASIAN,ASIAN_%,NON_HISP_NHPI,NHPI_%,NON_HISP_OTHER,OTHER_%,HHLD_COUNT,HHLD_ERR,HHLD_INC_lessthan5k,lessthan5k_%,HHLD_INC_5k10k,5k10_%,HHLD_INC_10k15k,10k15k_%,HHLD_INC_15k20k,15k20k_%,HHLD_INC_20k25k,20k25k_%,HHLD_INC_25k35k,25k35k_%,HHLD_INC_35k50k,35k50k_%,HHLD_INC_50k75k,50k75k_%,HHLD_INC_75k100k,75k100k_%,HHLD_INC_100k150k,100k150k_%,HHLD_INC_150kormore,150kormore_%,MEDIAN_HHLD_INC,HHLD_SUPPSEC_INC,SUPPSEC_%,HHLD_PUBASSIST_INC,PUBASSIST_%,EDUC_TOT,EDUC_lessthanhighschooldip,lessthandhighschooldip_%,EDUC_highschoolorged,highschoolorged_%,EDUC_somecollegeorassociate,somecollegeorassociate_%,EDUC_bachorhigher,bachorhigher_%
860Z200US97223,97223,49967,6719,0.134468749,34357,0.687593812,912,0.018252046,178,0.003562351,3717,0.074389097,435,0.008705746,235,0.004703104,20306,752,378,0.018615188,331,0.016300601,485,0.023884566,555,0.027331823,521,0.025657441,1059,0.052152073,1878,0.09248498,2949,0.145228011,2299,0.113217768,4561,0.224613415,5290,0.260514134,96222,767,0.037772087,2297,0.113119275,39563,2009,0.050779769,6505,0.164421303,12692,0.320804792,18357,0.463994136
860Z200US97225,97225,26247,2167,0.082561817,20061,0.764315922,485,0.018478302,83,0.003162266,1588,0.060502153,58,0.002209776,126,0.004800549,11686,624,117,0.01001198,154,0.013178162,160,0.013691597,346,0.029608078,188,0.016087626,828,0.070854013,1075,0.091990416,1801,0.154116036,1290,0.110388499,2412,0.206400821,3315,0.283672771,97661,198,0.016943351,1053,0.090107821,21273,504,0.023692004,2257,0.10609693,6062,0.284962159,12450,0.585248907
860Z200US97227,97227,6058,666,0.109937273,3895,0.642951469,676,0.111587983,46,0.007593265,273,0.045064378,10,0.00165071,38,0.006272697,3257,474,141,0.043291372,120,0.036843721,59,0.01811483,76,0.023334357,65,0.019957016,173,0.053116365,223,0.068467915,693,0.21277249,508,0.155971753,439,0.134786613,760,0.233343568,77951,154,0.047282776,463,0.142155358,5583,129,0.023105857,900,0.161203654,1042,0.186638008,3512,0.629052481
860Z200US97229,97229,73602,5531,0.075147414,40734,0.553436048,1250,0.016983234,170,0.00230972,20550,0.279204369,174,0.002364066,437,0.005937339,26324,662,438,0.016638809,262,0.009952895,343,0.013029935,413,0.015689105,411,0.015613129,1292,0.049080687,1838,0.069822215,2680,0.101808236,2541,0.096527883,4629,0.175847136,11477,0.435989971,137006,322,0.012232184,1486,0.056450387,52307,1761,0.033666622,5594,0.106945533,11317,0.216357275,33635,0.64303057
860Z200US97230,97230,41562,6767,0.162816996,21612,0.519994225,4746,0.114190847,282,0.006785044,4624,0.111255474,718,0.017275396,234,0.005630143,15825,873,378,0.023886256,336,0.021232227,806,0.05093207,538,0.03399684,645,0.040758294,1395,0.088151659,2229,0.140853081,2933,0.185339652,2116,0.13371248,2395,0.151342812,2054,0.129794629,62982,1143,0.072227488,2898,0.183127962,33367,4257,0.127581143,8678,0.260077322,11749,0.352114364,8683,0.260227171
860Z200US97232,97232,15382,1329,0.086399688,11264,0.732284488,636,0.041347029,92,0.005981017,828,0.053829151,32,0.002080354,100,0.006501105,8245,524,145,0.017586416,193,0.023408126,205,0.024863554,352,0.042692541,204,0.024742268,987,0.119708914,1006,0.122013341,1518,0.184111583,870,0.105518496,1322,0.1603396,1443,0.175015161,67591,101,0.012249848,1021,0.123832626,13092,630,0.04812099,1068,0.081576535,3000,0.229147571,8394,0.641154904
860Z200US97233,97233,41625,10493,0.252084084,19415,0.466426426,3792,0.091099099,378,0.009081081,4510,0.108348348,579,0.01390991,187,0.004492492,13833,841,417,0.030145305,556,0.04019374,970,0.070122172,774,0.055953155,859,0.062097882,1424,0.10294224,2070,0.14964216,2738,0.19793248,1761,0.127304272,1596,0.115376274,668,0.04829032,48360,1376,0.099472276,4371,0.315983518,29359,5711,0.194522974,8302,0.282775299,10744,0.365952519,4602,0.156749208
860Z200US97236,97236,40193,6929,0.172393203,20562,0.511581619,2912,0.072450427,296,0.007364466,6388,0.158933148,620,0.015425572,163,0.004055433,13284,726,290,0.021830774,371,0.027928335,732,0.055103884,689,0.051866908,675,0.050813008,1207,0.090861186,1599,0.12037037,2756,0.20746763,1400,0.105389943,1974,0.148599819,1591,0.119768142,58093,1267,0.095377898,3631,0.273336344,29238,4727,0.161673165,8482,0.290101922,10314,0.352760107,5715,0.195464806
860Z200US97239,97239,18323,1248,0.068111117,13740,0.749877204,378,0.02062981,260,0.014189816,1286,0.070185013,29,0.00158271,134,0.007313213,9239,535,438,0.047407728,58,0.006277736,137,0.014828445,341,0.036908756,152,0.016451997,457,0.049464228,853,0.092326009,889,0.096222535,1468,0.158891655,1653,0.178915467,2793,0.302305444,96477,173,0.01872497,668,0.072302197,15696,220,0.01401631,908,0.057849134,3212,0.204638124,11356,0.723496432
860Z200US97266,97266,36095,5865,0.162487879,18301,0.507023133,2238,0.062003048,359,0.009945976,6588,0.182518354,369,0.010223023,177,0.004903726,13035,612,268,0.020560031,559,0.042884542,585,0.044879171,363,0.027848101,496,0.0380514,1082,0.083007288,1788,0.13716916,2201,0.168853088,1766,0.135481396,2379,0.182508631,1548,0.118757192,63274,886,0.067970848,2930,0.22477944,28282,4435,0.156813521,7807,0.276041298,8948,0.31638498,7092,0.250760201
